"Adília Alarcão"; "1933"; ""
"Pedro Vieira de Almeida"; "1933"; "2011"
"Alves de Azevedo"; "1933"; ""
"Ruy Belo"; "1933"; "1978"
"Carlos Brito"; "1933"; ""
"José Vieira Cabrita"; "1933"; ""
"Idalécio Cação"; "1933"; ""
"António Cardoso"; "1933"; "2006"
"Carlos Lopes Cardoso"; "1933"; "1984"
"Lopes Cardoso"; "1933"; "2000"
"Maria Alexandra Cavaco Carrilho"; "1933"; ""
"José Manuel Ferreira Casaca"; "1933"; ""
"Afonso Cautela"; "1933"; ""
"João Bigotte Chorão"; "1933"; ""
"António Cirurgião"; "1933"; ""
"Maria de Lourdes Cortez"; "1933"; ""
"João Pedro Grabato Dias"; "1933"; "1994"
"Albano Estrela"; "1933"; ""
"Rogério Fernandes"; "1933"; "2010"
"Carlos Mário Ferreira"; "1933"; ""
"Luísa Freire"; "1933"; ""
"Brazão Gonçalves"; "1933"; ""
"Jorge Guimarães"; "1933"; "2010"
"José Luís Machado"; "1933"; "1994"
"António Magalhães"; "1933"; ""
"José Matoso"; "1933"; ""
"Valdemar Mota"; "1933"; ""
"António Rebordão Navarro"; "1933"; ""
"Maria do Céu Nogueira"; "1933"; ""
"Eduardo Olímpio"; "1933"; "?"
"António Osório"; "1933"; ""
"Maria Antónia Palla"; "1933"; ""
"Cristovam Pavia"; "1933"; "1968"
"Frei Mateus Cardoso Peres"; "1933"; ""
"Marcel Bataillon";;
"Elisabeth Feist Hirsch";;
"Pedro Mexia";;
"Mónica Baldaque"; "1946"; ""
"Raymond Chang";;
"Manuel Alves da Silva";;
"R. Morrison";;
"R. Boyd";;
"Alda Durães";;
"Alice Teles";;
"Maria João Lourenço";;
"João Gaspar Neves";;
"José S. Ribeiro";;
"Miguel Serras Pereira"; "1949"; ""
"Pierre Bourdieu";;
"Amélia Pilar Rauter";;
"Bernardo Jerosch Harold";;
"Heinz G. O. Becker";;
"Werner Berger";;
"Günter Domschke";;
"Egon Fanghänel";;
"Jürgen Faust";;
"Mechtild Fischer";;
"Fryhjof Gentz";;
"Karl Gewald";;
"Reiner Gluch";;
"Roland Mayer";;
"Klaus Müler";;
"Dietrich Pavel";;
"Hermann Schimt";;
"Karl Schollberg";;
"Klaus Schwetlick";;
"Erika Seiler";;
"Günter Zeppenfeld";;
"Maria Cândida Durão";;
"Maria D'Aires Caeiro";;
"Seeley Stephens Tate";;
"Desidério Murcho";;
"Pedro Galvão";;
"Ana Cristina Domingues";;
"Pedro Santos";;
"Clara Joana Martins";;
"António Horta Branco";;
"Maria Manuela Farrajota";;
"Maria João Santos";;
"Victor R. Stockinger";;
"Patrícia Galvão Teles";;
"Maria Pitta Groz";;
"Simon Blackburn";;
"Ian Brownlie";;
"Aristóteles";;
"Paulo Castilho"; "1944"; ""
"Luís Correia";;
"Henrique Ruivo";;
"Rui Ventura"; "1973"; ""
"António José Coutinho";;
"Teresa Zilhão";;
"Sandra Augusto França";;
"Firmino Mendes"; "1949"; ""
"Nicolau Saião";;
"Graça Pires";;
"José Alberto Mar";;
"Luís Alves da Costa";;
"Avelino José Costa de Sousa";;
"Carlos Poças Falcão"; "1951"; ""
"Paulo Dias Teixeira";;
"Laureano Silveira";;
"Margarida Lisboa";;
"Luís Filipe Rodrigues"; "1946"; ""
"Fernando Luís Sampaio";;
"Raul Malaquias Marques"; "1947"; ""
"José do Carmo Francisco"; "1951"; ""
"José Vitorino de Sousa Bartolomeu";;
"Luís Miguel Nava";;
"Ana Margarida Godinho Fonseca";;
"Ermelinda Maria Araújo Ferreira";;
"Henrique Garcia Pereira";;
"Carlos M. F. Cunha";;
"Maria Adelaide Valente"; "1942"; ""
"Petar Petrov";;
"Joaquim Carlos Araújo";;
"Maria Antónia Oliveira";;
"José António Ismael Gracias";;
"Adelto Gonçalves";;
"António Garcia Barreto"; "1948"; ""
"Luís Dantas"; "1946"; "2011"
"António Gonçalves";;
"Gonzalo Torrente Ballester";;
"António Custódio";;
"José Fidalgo";;
"Adrien Roïg";;
"Ingrid Pelletier";;
"Pedro Paixão"; "1956"; ""
"Inês Gonçalves";;
"Cristina Sampaio"; "1960"; ""
"Jorge Colombo";;
"Artur Varela";;
"Hanne Maguette";;
"Maria Graciete Besse"; "1951"; ""
"José Carlos Nascimento";;
"Emídio de Oliveira";;
"Siegbert Uhlig";;
"Thomas F. Earle";;
"Nair de Nazaré Castro Soares";;
"Gernot Bühring";;
"Pedro Vaz";;
"Isabel Margato";;
"Paulo Meneses";;
"António Serras Pereira";;
"Cécile Lombard";;
"Juan M. Carrasco";;
