id;nome;data_nascimento;local_nascimento;data_morte;local_morte;biografia;foto
10311;Manuel Cavaleiro de Ferreira;1911;Bragança;1992;Lisboa;;
10312;Manuel da Fonseca;1911;Santiago do Cacém;1993;Lisboa;;
10313;Cón. José António Martins Gigante;1911;Outeiro/Viana do Castelo;1989;Braga;;
10314;Armando Nobre de Gusmão;1911;Mourão;;;
10315;Fernando de Araújo Lima;1911;Avintes/Vila Nova de Gaia;;;
10316;Luís de Matos;1911;Abrantes;1995;Lisboa;;
10317;Rodrigo Melo;1911;Parada da Gonta/Tondela;1952;Lisboa;;
10318;Albano Nogueira;1911;Arganil;;;
10319;Américo Lopes de Oliveira;1911;Lisboa;;;
1032;;
10320;Agnelo Paiva;1911;Luanda;?;Angola;;
10321;Mário Baptista Pereira;1911;Lourinhã;;;
10322;Pe. M. A. Bernardo Pintor;1911;Castro Laboreiro/Melgaço;1996;Monção;;
10323;Alves Redol;1911;Vila Franca de Xira;1969;Lisboa;;
10324;Afonso Ribeiro;1911;Vila da Rua;1993;Cascais;;
10325;Manuel Rodrigues;1911;Lisboa;1996;Lisboa;;
10326;João Rúben;1911;Porto;1993;Porto;;
10327;Políbio Gomes dos Santos;1911;Ansião;1939;Ansião;;
10328;José Marmelo e Silva;1911;Paúl/Covilhã;1991;Espinho;;
10329;Eudoro de Sousa;1911;Lisboa;1987;Brasília;;
1033;;
10330;Manuel Cid Teles;1911;Tábua;2009;Oliveira do Hospital;;
10331;Cón. António Luís Vaz;1911;Fiães/Melgaço;;;
10332;Augusto dos Santos Abranches;1912;Paul/Covilhã;1963;São Paulo/Brasil;;
10333;António Ramos de Almeida;1912;Olinda;1961;Porto;;
10334;Vasco Botelho de Amaral;1912;Lisboa;1980;Lisboa;;
10335;Maria Augusta Alves Barbosa;1912;Lisboa;2012;Lisboa;;
10336;João Braz;1912;São Brás de Alportel;;;
10337;Guilherme de Castilho;1912;Vila Nova de Foz Côa;1987;Lisboa;;
10338;Alice de Azevedo Constant;1912;Porto;1980;Porto;;
10339;Leiria Dias;1912;Lisboa;1984;Peniche;;
1034;;
10340;Alberto Figueira Gomes;1912;Santa Luzia/Funchal;1986;Lisboa;;
10341;Manuel Viegas Guerreiro;1912;Querença/Loulé;1997;Carnaxide/Oeiras;;
10342;José Junça;1912;Avis;;;
10343;Alberto Miranda;1912;Macedo de Cavaleiros;1992;Vila Real;;
10344;Manuel do Nascimento;1912;Monchique;1966;Lisboa;;
10345;Mário Neves;1912;Lisboa;1999;Lisboa;;
10346;Flório José de Oliveira;1912;Évora;1993;Lisboa;;
10347;Elza Paxeco;1912;São Luís do Maranhão/Brasil;1989;Lisboa;;
10348;Faure da Rosa;1912;Nova Goa;1985;Lisboa;;
10349;Délio Santos;1912;Loulé;1977;Lisboa;;
1035;;
