Abreu, Miram Santini; 1970-
Abreu, M. R. da Silva; 1793-1869
Abreu, Ovídio Xavier de; 1908-
Abreu, Patrícia Joaquim; 1981-
Abreu, Paulo Brito e; 1960-
Abreu, Paulo Cancela de; 1885-1974
Abreu, Paulo de; fl. 1647
Abreu, Pedro Henriques de; 16--
Abreu, Pinto de; 1866-1948
Abreu, Ramiro de; ca 18--
Abreu, R. Clemente de; ca 1879
Abreu, Ricardo Lince Amaral Farto; 1983-
Abreu, Ricardo Matos; 1978-
Abreu, Roque Ribeiro de; fl. 168--17--
Abreu, Rui Filipe Lima Maranhão de; 1981-
Abreu, Rui Miguel Vaz de; 1974-
Abreu, Rute Sofia Tapadas; 1976-
Abreu, Sebastião de, 1595-1674; S.J.
Abreu, S. Fróes; 1902-1972
Abreu, Sofia Alexandra Lourenço; 1980-
Abreu, Solano de; 1858-1941
Abreu; Tiago André de Azevedo 1978-
Abreu, Tomás de Aquino Lobo de Matos e; fl. 1850
Abreu, Uriel Arcanjo Vieira; 1981-
Abreu, Vasco Apolinário de; 1969-
Abreu, Verónica de; 1965-
Abreu, Xana; 1975-
Abreu, Zina; 1956-
Abrezol, Raymond ; 1931-
Abrial, Nicolas; 1970-
Abrunheiro, Lígia Raquel Lopes dos Santos; 1974-
Abrunhosa, João Manuel Pena Afonso de; 1971-
Abrunhosa, Maria da Conceição Correia Guedes; 1949-
Abrunhosa, Octávio; 1924-
Abrunhosa, Paulo; 1958-
Abrunhosa, Pedro; 1960-
Abrunhosa, Susete Maria Lucas Coelho; 1976-
Abs, Hermann J.; 1901-
Absire, Alain; 1950-
Abt, Franz; 1819-1885
Abu-Bakr Muhammad ibn Zakariya al-Razi; 864-930 d.C.
Abuchaim, Beatriz; 1975-
Abuelaish, Izzeldin; 1955-
Abu Imram Musa Ibn Maimun Ibn Abdallah; 1135-1204
Abuín González, Angel; 1963-
Abulcasis; 909?-1036?
Abulense, Gaspar; 15--
Abusch; Alexandre 1902-1982
Acabado, Carlos; 1935-
Acabado, Manuel António Janeiro; 1888-1970
Acácio, Manuel; 1964-
Academia; 1982-1983
Academia das Ciências da Rússia; 1724-
Academia dos Generosos; 16--
Academia Litúrgica; fl. 176-
Academia Litúrgica Pontifícia; 1747-1767
Academia Veneziana; ca. 1558
Acampamento Internacional da Juventude, Lisboa; 1960
Acampamento Nacional, 10, Avintes; 1956
Acampamento Nacional da Mocidade Portuguesa, 1, Lisboa; 1937
Acampamento Nacional da Mocidade Portuguesa, 5, Lisboa; 1956
Acampamento Nacional do C. N. S., 4o, Braga; 1932
Acampamento Nacional do Corpo Nacional de Escutas, 13, Portalegre; 1968
Acampamento Nacional do Corpo Nacional de Escutas, 4o, Braga; 1932
Acaso Deltell, Salvador; 1942-
Aça, Zacarias de; 1839-1908
Acção, Lisboa; 2012
Accarrisi, Alberto; fl. 15--
Accattoli, Luigi; 1981-
Acciaioli, Donato; 1429-1478
Acciaiuoli, Luís; 1888-1958
Acciaiuoli, Margarida; 1948-
Acciaiuoli, Mathilde; 1923-
Acciaiuoli, Zanobio; 1461-1519
Accioli, Filipe Joaquim; 18--
Accioly, Breno; 1921-1966
Accioly, Elizabeth; 1960-
Accioly, Hildebrando; 1888-1962
Accioly, Marcus; 1943-
Accolti, Francesco; ca 1418-1483
Accolti, Giulio; 1566-1571
Accolti, Giulio, Herdeiros; fl. 1572
Accolto, Vincenzo; 1569-1596
Accoramboni, Girolamo; 1467-ca 1537
Accoramboni, Ottavio; 15---16--
Accum, Friedrich Christian; 1769-1838
Accursi, Michele; fl. 1843
Accursius, Bonus; fl. 14--
Accursius; ca 1182-ca 1260
Acedo, Maria Margarida; 1962-
Acero Fernandez, Juan José; 1948-
ACE, the European..., 1, Porto; 2012
Aceval, Benjamin; 1845-?
Acevedo, Alfonso de; ?-1598
Acevedo, Antonio de, ?-1590; O.S.A.
Acevedo Díaz, Zelmar; 1951-
Acevedo, Edberto Oscar; 1926-
Acevedo, Eduardo; 1815-1862
Acevedo, Evaristo; 1915
Acevedo, Henrique; 1942-
Acevedo Hernandez, Antonio; 1886-1962
Acevedo, Luis de, 15---ca 1600; O.S.A.
Acevedo, Pedro de; fl. 15--
Aceves y Lozano, Rafael; 1837-1876
Achard, Amédée; 1814-1875
Achard, Paul; 1897-1963
Achebe, Chinua; 1930-2013
Achega, João Coelho; 1920-
Acheson, Dean; 1893-1971
Achille-Delmas, F.; 1879-
Achilles, Paula; 1889-1955
Achillini, Alessandro; 1463-1512
Achron, Joseph; 1886-1943
Acim, Rachid; 1980-
Acioli, Socorro; 1975-
Acitores, Andrés de, ?-1599; O.Cist.
Acker, Alexander Luitpold; 1936-
Ackerley, Joe Randolph; 1897-1967
Ackerley, J. R.; 1896-1967
Ackerlind, Sheila Rogers; 1945-
Ackerman, Nathan W.; 1908-1971‏
Ackermann, Rudolph; 1764-1834
Ackersdijck, Dirck van; fl. 1643-1671
Ackroyd, Peter; 1949-
Aço, Perpétua Maria Coelho; 1963-
Acordo de Sanidade Veterinária Luso-Espanhol, 3, Lisboa; 1956
Açores. Presidente do Governo Regional; 1976-1995 (Mota Amaral)
